,symbol,name,price,changesPercentage,change,dayLow,dayHigh,yearHigh,yearLow,priceAvg50,priceAvg200,avgVolume
15,CGRO,Collective Growth Corporation,9.73,-0.71,-0.07,9.73,9.81,10.5,9.65,9.780657,9.843462,81703.0
16,AGYS,"Agilysys, Inc.",30.85,0.75,0.23,30.26,30.9,37.17,12.61,26.098,22.0635,142601.0
17,BOWXU,Bowx Acquisition Corp.,10.12,0.9,0.09,10.03,10.13,10.5,9.95,10.176143,10.159672,154067.0
18,SSB,South State Corporation,60.66,-2.19,-1.36,60.63,63.13,88.1,40.42,54.79,52.690285,363515.0
19,LTRX,"Lantronix, Inc.",4.51,-2.38,-0.11,4.42,4.67,5.48,1.58,4.7557144,4.0781426,159771.0
20,PNQI,Invesco NASDAQ Internet ETF,226.24,1.14,2.54,221.06,226.59,226.59,108.12,211.35371,187.887,28435.0
21,ENT,Global Eagle Entertainment Inc.,1.9,-10.38,-0.22,1.81,2.1197,12.32,0.0608,0.70165426,2.3161964,41717.0
22,ENPH,"Enphase Energy, Inc.",122.53,1.89,2.27,118.66,125.61,125.64,17.6,98.31029,68.82522,3585935.0
23,TTPH,"Tetraphase Pharmaceuticals, Inc.",2.2,-3.51,-0.08,2.18,2.26,4.3,0.56,2.2,2.2022858,282689.0
24,BSAE,Invesco BulletShares (R) 2021 USD Emerging Markets Debt ETF,25.33,0.0,0.0,25.315,25.33,25.69,24.29,25.3686,25.350273,2029.0
25,BSCL,Invesco BulletShares 2021 Corporate Bond ETF,21.3,-0.05,-0.01,21.2914,21.31,21.49,17.15,21.315714,21.352036,358634.0
26,BSCU,,20.035,-0.19,-0.038,20.035,20.05,20.48,19.73,19.882685,19.886223,3208.0
